;parameter;value;temperature;solar_power;load_heat;load_elec;ele_price_in;gas_price;ele_price_out
62;;;0.0;0.004;0.0;0.2461333333333333;0.29397182521865267;0.07476887972508596;0.11
63;;;0.0;0.0;0.0;0.2228;0.29772765677758267;0.07557421305841928;0.11
64;;;0.0;0.0;0.0;0.2002666666666667;0.3014834883365128;0.08028354639175261;0.11
65;;;0.0;0.0;0.0;0.1554666666666667;0.3015990523844798;0.07901421305841928;0.11
66;;;0.0;0.0;0.0;0.1082;0.3017146164324469;0.07582487972508596;0.11
67;;;0.0;0.0;0.0;0.1033333333333333;0.301830180480414;0.07723821305841928;0.11
68;;;0.0;0.0;0.0;0.1073333333333333;0.301945744528381;0.07114221305841929;0.11
69;;;0.0;0.0;0.0;0.2612666666666666;0.3242496057860271;0.07490221305841928;0.11
70;;;0.0;0.0;0.0;0.2315333333333333;0.3465534670436732;0.07479554639175262;0.11
71;;;0.0;0.0;0.0;0.6547999999999999;0.36885732830131923;0.07749421305841929;0.11
72;;;0.0;0.0;0.0;0.6731333333333334;0.39116118955896517;0.0728382130584193;0.11
73;;;0.0;0.0;0.0;0.2387333333333333;0.36885732830131923;0.07564354639175262;0.11
74;;;0.0;0.0;0.0;0.164;0.3465534670436732;0.07988354639175263;0.11
75;;;0.0;0.0;0.0;0.1785333333333333;0.3242496057860271;0.0807742130584193;0.11
76;;;0.0;0.0;0.0;0.1608;0.301945744528381;0.07620354639175261;0.11
77;;;0.0;0.0;0.0;0.1766666666666667;0.2935095690267844;0.07840087972508596;0.11
78;;;0.0;0.0;0.0;0.1492666666666667;0.2850733935251877;0.07710487972508595;0.11
79;;;0.0;0.0;0.0;0.1195333333333333;0.276637218023591;0.07613954639175262;0.11
80;;;0.0;0.0;0.0;0.1270666666666667;0.2682010425219944;0.07650754639175263;0.11
81;;;0.0;0.0;0.0;0.2472;0.2733436426565293;0.07538754639175262;0.11
82;;;0.0;0.0;0.0;0.1878;0.2784862427910643;0.07230487972508595;0.11
83;;;0.0;0.0;0.0;0.1048;0.2836288429255993;0.07380887972508596;0.11
84;;;0.0;0.0;0.0;0.09946666666666668;0.2887714430601342;0.07752621305841928;0.11
85;;;0.0;0.0;0.0;0.2689333333333334;0.2823923076123515;0.07841154639175263;0.11
86;;;0.0;0.0;0.0;0.2948;0.27601317216456883;0.07811287972508596;0.11
87;;;0.0;0.0;0.0;0.2408666666666667;0.2696340367167861;0.07825154639175261;0.11
88;;;0.0;0.0;0.0;0.2435333333333333;0.2632549012690034;0.07935554639175263;0.11
89;;;0.0;0.0;0.0;0.2670666666666667;0.2475266343406841;0.07818754639175261;0.11
